acc_x,acc_y,acc_z,lr_vel,lr_dir,ud_vel,ud_dir
3,-17,998,,,,
4,-15,981,,,,
0,-14,987,,,,
10,-17,996,,,,
9,-15,1003,,,,
5,-12,1000,,,,
9,-15,999,,,,
10,-16,993,,,,
4,-14,986,,,,
7,-17,995,,,,
4,-14,995,,,,
9,-15,1001,,,,
2,-15,1003,,,,
5,-15,992,,,,
5,-20,988,,,,
4,-15,997,,,,
6,-13,988,,,,
8,-16,996,,,,
10,-15,996,,,,
3,-15,1001,,,,
8,-16,1002,,,,
5,-10,998,,,,
8,-15,991,,,,
0,-13,995,,,,
6,-16,984,,,,
3,-15,995,,,,
7,-16,987,,,,
1,-16,996,,,,
2,-14,1001,,,,
5,-13,1002,,,,
9,-13,998,,,,
3,-17,991,,,,
3,-14,987,,,,
7,-13,991,,,,
6,-15,996,,,,
3,-15,1002,,,,
6,-14,997,,,,
3,-13,994,,,,
9,-17,996,,,,
5,-15,995,,,,
10,-15,996,,,,
10,-13,996,,,,
7,-14,1001,,,,
7,-19,999,,,,
7,-15,999,,,,
8,-15,994,,,,
6,-14,988,,,,
4,-14,992,,,,
8,-16,992,,,,
5,-15,995,,,,
5,-14,996,,,,
5,-14,1000,,,,
6,-15,995,,,,
3,-17,997,,,,
5,-14,992,,,,
6,-15,995,,,,
7,-15,994,,,,
5,-15,994,,,,
4,-17,995,,,,
6,-15,1000,,,,
8,-13,994,,,,
8,-15,997,,,,
6,-15,995,,,,
2,-13,994,,,,
7,-13,995,,,,
9,-15,995,,,,
8,-16,997,,,,
5,-11,995,,,,
10,-14,997,,,,
7,-15,996,,,,
9,-11,996,,,,
4,-13,995,,,,
7,-15,996,,,,
4,-14,994,,,,
5,-17,997,,,,
7,-16,997,,,,
5,-15,1001,,,,
6,-13,996,,,,
8,-16,996,,,,
9,-17,991,,,,
7,-12,994,,,,
7,-14,994,,,,
2,-10,994,,,,
5,-15,997,,,,
6,-16,1000,,,,
8,-15,999,,,,
8,-18,998,,,,
6,-16,999,,,,
7,-14,997,,,,
7,-14,997,,,,
5,-12,997,,,,
5,-15,996,,,,
6,-17,996,,,,
1,-15,993,,,,
5,-15,992,,,,
5,-15,994,,,,
6,-13,990,,,,
6,-16,989,,,,
8,-14,995,,,,
8,-16,1003,,,,
7,-17,1001,,,,
4,-14,1002,,,,
5,-13,994,,,,
8,-15,992,,,,
6,-15,989,,,,
9,-13,990,,,,
6,-13,995,,,,
10,-11,989,,,,
5,-14,986,,,,
7,-14,998,,,,
11,-15,998,,,,
8,-14,1003,,,,
4,-16,995,,,,
6,-18,992,,,,
9,-16,994,,,,
4,-13,995,,,,
4,-14,991,,,,
4,-14,998,,,,
2,-16,998,,,,
7,-12,995,,,,
4,-15,995,,,,
6,-15,994,,,,
3,-14,998,,,,
6,-17,997,,,,
4,-12,996,,,,
9,-12,995,,,,
7,-10,997,,,,
3,-13,997,,,,
4,-16,994,,,,
5,-15,998,,,,
7,-17,997,,,,
5,-16,995,,,,
7,-19,996,,,,
7,-17,994,,,,
5,-15,995,,,,
5,-15,989,,,,
8,-17,998,,,,
2,-18,997,,,,
7,-16,995,,,,
6,-15,996,,,,
10,-17,995,,,,
4,-15,997,,,,
4,-19,1001,,,,
6,-14,997,,,,
8,-15,997,,,,
6,-16,988,,,,
5,-13,986,,,,
8,-15,994,,,,
6,-13,1000,,,,
8,-16,1009,,,,
9,-18,1003,,,,
6,-13,994,,,,
8,-15,987,,,,
5,-15,990,,,,
6,-14,995,,,,
8,-16,996,,,,
2,-15,994,,,,
7,-16,1001,,,,
10,-11,992,,,,
7,-13,1002,,,,
9,-15,1001,,,,
5,-15,993,,,,
5,-15,991,,,,
6,-13,986,,,,
5,-12,994,,,,
4,-14,998,,,,
7,-14,1000,,,,
3,-15,1005,,,,
7,-16,995,,,,
6,-17,996,,,,
3,-17,991,,,,
10,-17,1000,,,,
5,-16,995,,,,
7,-16,999,,,,
8,-13,997,,,,
5,-18,994,,,,
5,-15,994,,,,
7,-13,995,,,,
7,-14,998,,,,
3,-17,997,,,,
5,-14,1002,,,,
5,-15,1002,,,,
8,-12,997,,,,
7,-17,995,,,,
6,-13,992,,,,
12,-15,995,,,,
8,-11,997,,,,
4,-16,994,,,,
4,-14,996,,,,
9,-14,993,,,,
4,-16,996,,,,
7,-11,996,,,,
5,-15,998,,,,
6,-15,1001,,,,
5,-14,994,,,,
4,-14,1000,,,,
5,-15,992,,,,
3,-15,996,,,,
8,-14,995,,,,
6,-15,992,,,,
8,-13,1001,,,,
8,-15,995,,,,
3,-15,998,,,,
8,-14,993,,,,
4,-17,1000,,,,
7,-17,995,,,,
1,-18,996,,,,
4,-14,993,,,,
10,-14,995,,,,
4,-16,1000,,,,
7,-16,1003,,,,
6,-15,999,,,,
2,-17,998,,,,
8,-13,994,,,,
5,-14,991,,,,
7,-15,996,,,,
5,-16,994,,,,
5,-13,999,,,,
7,-17,1000,,,,
4,-14,993,,,,
4,-16,1001,,,,
7,-14,993,,,,
6,-13,996,,,,
2,-13,1000,,,,
7,-16,995,,,,
3,-14,994,,,,
4,-15,990,,,,
5,-14,995,,,,
5,-15,1001,,,,
6,-13,998,,,,
8,-15,995,,,,
5,-16,995,,,,
4,-16,997,,,,
8,-16,996,,,,
1,-17,1000,,,,
5,-19,998,,,,
6,-15,995,,,,
7,-15,996,,,,
10,-17,995,,,,
8,-17,996,,,,
6,-16,997,,,,
8,-16,993,,,,
6,-13,998,,,,
6,-16,995,,,,
4,-15,1001,,,,
8,-11,995,,,,
4,-13,996,,,,
6,-14,996,,,,
9,-13,997,,,,
7,-8,996,,,,
4,-13,994,,,,
5,-16,998,,,,
5,-12,998,,,,
2,-14,996,,,,
4,-13,997,,,,
6,-14,999,,,,
8,-13,996,,,,
7,-17,998,,,,
4,-17,994,,,,
10,-17,996,,,,
3,-15,995,,,,
7,-14,995,,,,
8,-16,994,,,,
7,-14,1000,,,,
6,-15,997,,,,
6,-16,998,,,,
8,-14,994,,,,
4,-15,996,,,,
5,-17,995,,,,
10,-13,997,,,,
5,-16,996,,,,
3,-13,997,,,,
6,-16,999,,,,
2,-12,993,,,,
7,-18,996,,,,
6,-13,999,,,,
6,-15,997,,,,
6,-16,1000,,,,
6,-16,996,,,,
7,-14,996,,,,
3,-11,995,,,,
5,-13,995,,,,
3,-14,997,,,,
5,-16,996,,,,
3,-15,997,,,,
5,-12,997,,,,
3,-19,997,,,,
8,-14,999,,,,
5,-12,996,,,,
3,-16,994,,,,
8,-17,1000,,,,
5,-15,996,,,,
7,-12,994,,,,
3,-16,995,,,,
9,-15,994,,,,
4,-17,995,,,,
10,-12,996,,,,
6,-16,998,,,,
6,-15,999,,,,
7,-16,998,,,,
6,-14,996,,,,
6,-13,999,,,,
5,-18,999,,,,
6,-14,997,,,,
6,-14,996,,,,
5,-16,995,,,,
9,-15,1000,,,,
5,-19,993,,,,
6,-16,995,,,,
6,-14,994,,,,
4,-14,996,,,,
7,-14,996,,,,
5,-19,994,,,,
5,-12,996,,,,
5,-14,998,,,,
5,-14,996,,,,
6,-15,998,,,,
5,-13,996,,,,
5,-15,996,,,,
8,-17,994,,,,
6,-15,991,,,,
6,-15,999,,,,
6,-15,997,,,,
8,-13,997,,,,
5,-12,996,,,,
4,-17,996,,,,
6,-15,1002,,,,
7,-12,999,,,,
7,-15,1001,,,,
6,-16,999,,,,
7,-15,997,,,,
5,-12,1001,,,,
9,-15,996,,,,
5,-11,996,,,,
5,-15,999,,,,
8,-18,997,,,,
5,-16,996,,,,
5,-13,996,,,,
8,-14,996,,,,
5,-16,991,,,,
7,-14,1000,,,,
6,-16,998,,,,
5,-16,996,,,,
2,-14,996,,,,
6,-16,994,,,,
6,-18,1001,,,,
6,-15,995,,,,
4,-19,991,,,,
5,-13,1004,,,,
1,-15,989,,,,
9,-15,1005,,,,
2,-19,997,,,,
2,-14,994,,,,
6,-17,992,,,,
11,-13,1010,,,,
-4,-16,990,,,,
2,-18,996,,,,
17,-8,998,,,,
-1,-15,989,,,,
16,-15,1003,,,,
-3,-15,991,,,,
16,-15,1000,,,,
-9,-12,988,,,,
0,-14,1004,,,,
-44,-26,991,,,,
-211,-29,875,,,,
-191,-40,1100,,,,
-237,-37,931,,,,
-223,-29,1065,,,,
-219,-29,957,,,,
-162,-22,1051,,,,
-141,-10,978,,,,
-86,-2,1050,,,,
-36,0,1026,,,,
-6,0,1001,,,,
17,-8,1050,,,,
78,-6,1030,,,,
65,-6,839,,,,
48,-14,963,,,,
47,-20,931,,,,
43,-22,1029,,,,
33,-24,1040,,,,
46,-30,1011,,,,
36,-33,933,,,,
58,-23,1057,,,,
45,-38,942,,,,
31,-48,1018,,,,
54,-30,1032,,,,
61,-29,1012,,,,
40,-34,958,,,,
37,-42,993,,,,
38,-53,982,,,,
13,-46,976,,,,
-11,-60,1016,,,,
-17,-66,984,,,,
-39,-65,1014,,,,
-31,-61,1030,,,,
-53,-64,959,,,,
-50,-56,1080,,,,
-65,-62,914,,,,
-69,-62,935,,,,
-62,-62,1107,,,,
-80,-86,900,,,,
-58,-82,1134,,,,
-49,-92,889,,,,
-24,-79,1010,,,,
-26,-81,950,,,,
-17,-66,1045,,,,
-5,-58,918,,,,
5,-38,1033,,,,
0,-29,859,,,,
0,-20,923,,,,
-7,-19,988,,,,
-7,-8,986,,,,
-8,2,946,,,,
-26,42,949,,,,
25,82,1013,,,,
19,96,841,,,,
88,114,1109,,,,
76,96,880,,,,
88,49,1118,,,,
94,26,972,,,,
113,11,1065,,,,
73,-20,983,,,,
67,-77,1016,,,,
31,-103,1005,,,,
22,-130,943,,,,
-8,-120,1069,,,,
-25,-68,1013,,,,
-31,-54,1148,,,,
-27,-63,928,,,,
-10,-45,994,,,,
4,-57,950,,,,
26,-55,1013,,,,
57,-53,1042,,,,
47,-53,948,,,,
36,-67,961,,,,
51,-61,1088,,,,
35,-63,872,,,,
55,-40,963,,,,
82,-26,1062,,,,
93,-37,865,,,,
104,-20,1111,,,,
107,-15,961,,,,
113,3,944,,,,
99,7,1009,,,,
94,6,933,,,,
78,24,927,,,,
68,65,1057,,,,
80,76,927,,,,
42,106,1079,,,,
12,123,983,,,,
10,135,952,,,,
17,151,1018,,,,
20,146,978,,,,
21,130,983,,,,
47,135,995,,,,
45,137,996,,,,
-3,115,1011,,,,
22,-61,1031,,,,
22,-47,943,,,,
-26,-9,1005,,,,
39,-5,1009,,,,
-8,-12,990,,,,
11,-24,973,,,,
3,-18,1009,,,,
-2,-3,993,,,,
33,-8,998,,,,
44,15,994,,,,
49,20,990,,,,
54,29,1008,,,,
62,33,1000,,,,
73,34,1001,,,,
73,41,983,,,,
79,39,991,,,,
78,36,1006,,,,
66,36,998,,,,
58,39,1012,,,,
62,23,1014,,,,
54,23,993,,,,
52,14,976,,,,
47,20,994,,,,
42,14,1017,,,,
33,14,1002,,,,
41,7,968,,,,
48,0,969,,,,
34,5,982,,,,
18,14,1006,,,,
18,6,1031,,,,
16,8,973,,,,
43,-9,998,,,,
33,-12,982,,,,
4,-1,991,,,,
-1,-18,972,,,,
5,-26,1005,,,,
4,-12,1006,,,,
6,-6,996,,,,
20,-6,1002,,,,
14,-15,979,,,,
18,-13,997,,,,
11,-5,1007,,,,
4,-7,1022,,,,
12,-7,983,,,,
13,-16,989,,,,
3,-25,988,,,,
10,-14,1021,,,,
-3,-18,1001,,,,
-9,-15,1001,,,,
-11,-15,1020,,,,
0,-28,978,,,,
-1,-52,992,,,,
-27,-31,975,,,,
-32,-32,886,,,,
-19,-79,1055,,,,
-40,-35,982,,,,
-32,-55,1006,,,,
-37,-34,1035,,,,
-48,-7,1026,,,,
-16,-53,981,,,,
-1,-55,923,,,,
-5,-39,1015,,,,
-55,-6,999,,,,
-30,-58,976,,,,
-26,-53,1067,,,,
-13,-33,996,,,,
8,-58,1022,,,,
-39,-21,987,,,,
-40,-40,1011,,,,
-33,-57,988,,,,
-32,-40,1030,,,,
-21,-55,974,,,,
-23,-56,1000,,,,
-35,-33,976,,,,
-38,-52,1008,,,,
-33,-48,959,,,,
-34,-50,1023,,,,
-35,-47,982,,,,
-36,-55,1014,,,,
-43,-53,992,,,,
-16,-13,1047,,,,
18,12,1001,,,,
11,-35,962,,,,
8,-2,988,,,,
20,-13,952,,,,
8,-26,971,,,,
13,-19,1036,,,,
7,-23,1025,,,,
59,-61,1015,,,,
75,-50,1003,,,,
67,-59,960,,,,
55,-35,967,,,,
34,-9,1006,,,,
31,-2,974,,,,
21,-4,998,,,,
20,0,965,,,,
5,5,1005,,,,
14,5,993,,,,
7,11,1033,,,,
3,5,979,,,,
-23,5,1012,,,,
-16,10,947,,,,
6,5,1006,,,,
3,0,988,,,,
-2,2,1027,,,,
-28,2,1006,,,,
-34,-6,981,,,,
-31,-15,991,,,,
-20,-14,986,,,,
-14,-16,1013,,,,
-2,-19,994,,,,
2,-10,1024,,,,
16,-5,986,,,,
25,-1,1004,,,,
49,4,978,,,,
41,3,995,,,,
47,10,1001,,,,
55,18,1001,,,,
55,35,1002,,,,
70,42,1015,,,,
88,45,1023,,,,
79,47,986,,,,
54,45,1042,,,,
70,49,965,,,,
53,52,1078,,,,
60,66,937,,,,
38,49,1086,,,,
78,43,910,,,,
86,56,1064,,,,
104,56,955,,,,
107,42,1046,,,,
125,46,986,,,,
104,61,1086,,,,
133,62,1025,,,,
121,62,947,,,,
137,49,1103,,,,
163,73,843,,,,
121,95,1163,,,,
169,84,799,,,,
207,70,1022,,,,
182,78,938,,,,
213,54,785,,,,
194,49,1045,,,,
223,67,1070,,,,
244,27,1405,,,,
178,13,1293,,,,
157,29,1071,,,,
103,2,1499,,,,
197,-24,800,,,,
105,-35,1283,,,,
114,2,645,,,,
69,4,1022,,,,
15,0,899,,,,
-4,-13,908,,,,
57,-61,1227,,,,
6,-21,941,,,,
-75,-25,1600,,,,
29,-48,946,,,,
21,-47,1887,,,,
32,-84,335,,,,
-92,-88,1054,,,,
-87,-83,486,,,,
-103,-84,918,,,,
-69,-77,941,,,,
-99,-82,1139,,,,
-108,-91,947,,,,
-98,-57,586,,,,
-142,-104,1149,,,,
-52,-113,457,,,,
-146,-103,1328,,,,
-90,-89,653,,,,
-189,-83,1430,,,,
-106,-83,656,,,,
-221,-59,1462,,,,
-192,-61,546,,,,
-218,-44,1242,,,,
-176,-63,828,,,,
-216,-72,1203,,,,
-205,-95,965,,,,
-207,-107,930,,,,
-224,-109,1015,,,,
-195,-119,816,,,,
-231,-120,1112,,,,
-179,-101,879,,,,
-164,-99,1120,,,,
-147,-67,931,,,,
-145,-48,1039,,,,
-108,-2,1020,,,,
27,-31,986,,,,
57,-13,979,,,,
-56,-13,993,,,,
72,-18,1012,,,,
-19,-2,964,,,,
26,29,1006,,,,
37,78,1006,,,,
49,92,968,,,,
52,106,1019,,,,
54,84,1013,,,,
47,84,960,,,,
55,76,1021,,,,
58,85,975,,,,
65,73,1000,,,,
36,49,1016,,,,
28,45,982,,,,
51,29,952,,,,
24,23,1034,,,,
-3,0,1014,,,,
3,0,1000,,,,
-11,7,970,,,,
-17,22,1009,,,,
-10,11,1038,,,,
-43,26,1037,,,,
-29,-6,942,,,,
-33,-7,973,,,,
-30,2,1072,,,,
-49,-9,989,,,,
-45,5,878,,,,
-56,-5,1033,,,,
-33,-29,1105,,,,
-44,5,1029,,,,
-58,5,886,,,,
-43,-19,888,,,,
-50,-36,911,,,,
-19,-9,951,,,,
4,-24,1045,,,,
19,-12,990,,,,
10,-1,884,,,,
3,-11,1052,,,,
21,-23,1020,,,,
48,-25,974,,,,
42,-31,973,,,,
48,-11,1031,,,,
61,-23,980,,,,
28,-39,991,,,,
34,-49,1012,,,,
57,-39,1002,,,,
46,-69,1014,,,,
18,-72,954,,,,
-3,-96,962,,,,
-23,-107,1044,,,,
-66,-81,991,,,,
-58,-87,943,,,,
-64,-91,1048,,,,
-61,-79,987,,,,
-55,-99,998,,,,
-51,-120,980,,,,
-23,-143,1033,,,,
-28,-140,1012,,,,
-25,-160,1029,,,,
-10,-192,998,,,,
15,-191,1032,,,,
20,-178,998,,,,
-5,-152,950,,,,
7,-154,961,,,,
1,-104,1010,,,,
6,-105,992,,,,
29,-105,974,,,,
46,-98,1002,,,,
68,-72,997,,,,
33,-16,941,,,,
22,1,975,,,,
37,8,1028,,,,
23,5,970,,,,
0,-16,1037,,,,
9,-10,1010,,,,
27,-16,974,,,,
22,-27,1016,,,,
54,-70,1038,,,,
9,-13,984,,,,
32,-43,993,,,,
24,-60,1032,,,,
25,-70,970,,,,
22,-78,1030,,,,
33,-104,979,,,,
28,-102,968,,,,
0,-31,1051,,,,
-30,-23,1010,,,,
-35,-30,953,,,,
-82,-45,1014,,,,
-146,-40,1025,,,,
-138,-73,989,,,,
-139,-78,1042,,,,
-166,-65,854,,,,
-153,-67,1082,,,,
-165,-61,881,,,,
-124,-29,1069,,,,
-66,13,957,,,,
-31,16,960,,,,
-51,39,1010,,,,
-38,25,1028,,,,
-76,8,962,,,,
-76,18,949,,,,
-55,-40,1006,,,,
-70,-12,973,,,,
-15,-28,1091,,,,
-4,36,1018,,,,
17,-12,994,,,,
-8,-65,912,,,,
-1,-41,950,,,,
-11,-34,992,,,,
-7,-6,1049,,,,
-50,-48,967,,,,
18,-9,928,,,,
20,-2,1167,,,,
11,21,984,,,,
74,-2,1077,,,,
-57,26,900,,,,
53,-14,1047,,,,
-5,49,1167,,,,
49,-29,764,,,,
29,-17,994,,,,
-14,17,812,,,,
96,-4,1045,,,,
32,83,888,,,,
142,112,1066,,,,
153,118,1001,,,,
4,3,1094,,,,
22,27,955,,,,
76,46,1029,,,,
95,59,984,,,,
114,54,935,,,,
117,71,1004,,,,
27,35,1016,,,,
44,38,967,,,,
65,26,1007,,,,
50,16,1017,,,,
69,54,1018,,,,
40,15,978,,,,
48,14,1033,,,,
18,23,975,,,,
34,-7,1026,,,,
33,20,989,,,,
48,25,1040,,,,
70,24,995,,,,
55,55,944,,,,
35,27,1029,,,,
36,15,987,,,,
47,12,998,,,,
21,22,987,,,,
37,2,984,,,,
60,28,1006,,,,
35,30,981,,,,
41,27,992,,,,
51,5,997,,,,
40,33,999,,,,
40,17,1005,,,,
26,13,991,,,,
20,4,1011,,,,
13,-7,998,,,,
54,-67,1001,,,,
-33,26,1009,,,,
-5,-29,988,,,,
-11,-20,1006,,,,
-8,-37,971,,,,
-7,-32,1006,,,,
-12,-29,996,,,,
-1,-20,990,,,,
-2,-18,1003,,,,
-8,-24,990,,,,
-9,-26,1011,,,,
-63,-19,994,,,,
-86,-30,1006,,,,
-77,-36,997,,,,
-76,-31,981,,,,
-44,-23,1021,,,,
-61,-16,990,,,,
-56,-16,996,,,,
-74,-23,986,,,,
-76,-20,976,,,,
-97,-24,1007,,,,
-155,-30,956,,,,
-166,-36,1059,,,,
-145,-35,922,,,,
-109,-15,1032,,,,
-94,-12,964,,,,
-66,-20,1012,,,,
-84,-8,993,,,,
-97,-6,1008,,,,
-84,-14,964,,,,
-82,-15,1069,,,,
-76,-5,1023,,,,
-92,-8,1034,,,,
-94,-30,988,,,,
-84,-18,1036,,,,
-89,-29,953,,,,
-89,-25,965,,,,
-91,-25,966,,,,
-104,-37,926,,,,
-182,-23,1129,,,,
-200,-20,715,,,,
-87,-17,1070,,,,
-70,-13,839,,,,
-70,-18,1050,,,,
-87,-5,855,,,,
-94,-1,1042,,,,
-125,-11,908,,,,
-127,-13,1123,,,,
-196,-2,947,,,,
-159,-5,1092,,,,
-186,12,960,,,,
-136,7,1172,,,,
-130,19,1163,,,,
-124,3,943,,,,
-97,35,966,,,,
-164,33,741,,,,
-106,12,1139,,,,
-162,10,522,,,,
-153,23,1049,,,,
-216,0,790,,,,
-173,13,810,,,,
-186,19,1077,,,,
-182,18,1587,,,,
-196,7,707,,,,
-143,36,1337,,,,
-130,30,766,,,,
-140,25,960,,,,
-142,49,1420,,,,
-162,49,965,,,,
-136,20,863,,,,
-140,25,1062,,,,
-158,58,945,,,,
-132,47,415,,,,
-177,34,1797,,,,
-146,14,592,,,,
-129,27,1272,,,,
-155,-8,-31,,,,
-108,48,1097,,,,
-165,50,1191,,,,
-159,48,1786,,,,
-168,52,301,,,,
-4,23,1300,,,,
-115,-7,240,,,,
-102,58,2067,,,,
